VtuberName,IgnoreFlag
キズナアイ,1.0
輝夜月,1.0
ミライアカリ,1.0
月ノ美兎,1.0
本間ひまわり,1.0
笹木咲,1.0
電脳少女シロ,1.0
猫宮ひなた,1.0
白上フブキ,1.0
ときのそら,1.0
夏色まつり,1.0
赤井はあと,1.0
葛葉,1.0
樋口楓,1.0
静凛,1.0
ベイレーン,1.0
緑仙,1.0
富士葵,1.0
鈴鹿詩子,1.0
周防パトラ,1.0
バーチャルおばあちゃん,1.0
天神子兎音,1.0
星街すいせい,1.0
叶(かなえ),1.0
社築,1.0
織田信姫,1.0
シスター・クレア,1.0
バーチャルのじゃロリ狐娘Youtuberおじさん,1.0
名取さな,1.0
ドーラ にじさんじ,1.0
ヤミクモケリン,1.0
鳩羽つぐ,1.0
物述有栖,1.0
勇気ちひろ,1.0
森中花咲,1.0
花畑チャイカ,1.0
剣持刀也,1.0
イヴ・ヴァルレーヌ,1.0
神楽めあ,1.0
もこ田めめめ,1.0
Ami Yamato,1.0
因幡はねる,1.0
エルフのえる,1.0
夜空メル,1.0
天開司,1.0
宇志海いちご,1.0
文野環,1.0
かしこまり,1.0
松村上久郎,1.0
夕陽リリ,1.0
家長むぎ,1.0
かんな Vtuber,1.0
アキ・ローゼンタール,1.0
卯月コウ,1.0
西園寺メアリ,1.0
夜桜たま,1.0
ばあちゃる,1.0
北上双葉,1.0
ふぇありす　バーチャル,1.0
金剛いろは,1.0
モイラ にじさんじ,1.0
渋谷ハル,1.0
ディープウェブ・アンダーグラウンド,1.0
赤羽葉子,1.0
渋谷ハジメ,1.0
メイカ　バーチャル,1.0
花京院ちえり,1.0
重沢なとり バーチャル,1.0
出雲霞,1.0
のらきゃっと,1.0
ウェザーロイドAiri,1.0
神楽すず,1.0
ヤマト・イオリ,1.0
朝ノ三姉妹,1.0
猫乃木もち,1.0
pjぽてち,1.0
伏見ガク,1.0
アンジョー コーサカ,1.0
ハッカドール1号,1.0
リズ　バーチャル,1.0
カルロ・ピノ,1.0
藤崎由愛(YUA),1.0
赤月ゆに,1.0
メリーミルク,1.0
木曽あずき,1.0
バーチャルゴリラ,1.0
轟京子,1.0
マグロナ,1.0
闇夜乃モルル,1.0
銀河アリス,1.0
もちひよこ,1.0
宇森ひなこ,1.0
牛巻りこ,1.0
香風みりあ,1.0
蒼月エリ,1.0
堰代ミコ,1.0
日ノ隈らん,1.0
ギルザレンIII世,1.0
黒咲りん,1.0
アメノセイ,1.0
鈴谷アキ,1.0
天川アルト,1.0
藤間桜,1.0
宗谷いちか,1.0
夕闇ルキア,1.0
島村シャルロット,1.0
鴨見カモミ,1.0
日雇礼子,1.0
瀬兎一也,1.0
てるとくん,1.0
乾伸一郎,1.0
響木アオ,1.0
虹河ラキ,1.0
ちくわ　バーチャル,1.0
地球ちゃん　バーチャル,1.0
安土桃,1.0
そよかぜアメ,1.0
型落おねーさん,1.0
のなか三崎,1.0
ゴールドシップ バーチャル,1.0
ンヌグム,1.0
兎鞠まり,1.0
届木ウカ,1.0
皆守ひいろ,1.0
名伽尾アズマ,1.0
春崎エアル,1.0
海夜叉神,1.0
ノート竹花,1.0
東雲めぐ,1.0
ひものちゃんねる,1.0
おこめチャンネル,1.0
白銀ノエル,1.0
紫咲シオン,1.0
がうるぐら,1.0
湊あくあ,1.0
兎田ぺこら,1.0
桐生ココ,1.0
赤井はあと,1.0
潤羽るしあ,1.0
白銀ノエル,1.0
大空スバル,1.0
天音かなた,1.0
御伽原江良,1.0
常闇トワ,1.0
リゼ・ヘルエスタ,1.0
椎名唯華,1.0
アンジュ・カトリーナ,1.0
"Andi Adinata""",1.0
